iter	Passed	Remaining
1292	29577	16172
1293	29599	16149
1294	29618	16124
1295	29639	16100
1296	29660	16076
1297	29684	16054
1298	29704	16030
1299	29725	16006
1300	29747	15982
1301	29768	15959
1302	29792	15936
1303	29815	15913
1304	29838	15891
1305	29861	15868
1306	29883	15844
1307	29904	15821
1308	29928	15798
1309	29949	15775
1310	29972	15752
1311	29992	15728
1312	30015	15704
1313	30037	15681
1314	30068	15663
1315	30091	15640
1316	30110	15615
1317	30133	15592
1318	30155	15569
1319	30177	15546
1320	30198	15521
1321	30219	15498
1322	30241	15475
1323	30262	15451
1324	30282	15427
1325	30304	15403
1326	30325	15379
1327	30348	15357
1328	30369	15333
1329	30388	15308
1330	30410	15285
1331	30433	15262
1332	30455	15239
1333	30477	15215
1334	30499	15192
1335	30521	15169
1336	30543	15145
1337	30562	15121
1338	30581	15096
1339	30605	15074
1340	30626	15050
1341	30649	15027
1342	30672	15004
1343	30695	14982
1344	30719	14960
1345	30752	14942
1346	30776	14919
1347	30800	14897
1348	30821	14873
1349	30844	14851
1350	30866	14827
1351	30886	14803
1352	30907	14779
1353	30931	14757
1354	30955	14735
1355	30978	14712
1356	30999	14689
1357	31035	14671
1358	31056	14648
1359	31081	14626
1360	31104	14603
1361	31127	14580
1362	31149	14557
1363	31168	14533
1364	31191	14510
1365	31212	14486
1366	31233	14462
1367	31254	14439
1368	31276	14415
1369	31297	14392
1370	31316	14367
1371	31339	14344
1372	31360	14321
1373	31382	14297
1374	31402	14273
1375	31424	14250
1376	31446	14227
1377	31468	14204
1378	31492	14182
1379	31515	14159
1380	31538	14136
1381	31559	14112
1382	31584	14090
1383	31606	14067
1384	31626	14043
1385	31650	14021
1386	31671	13997
1387	31692	13973
1388	31714	13950
1389	31735	13927
1390	31758	13904
1391	31777	13880
1392	31800	13857
1393	31820	13833
1394	31842	13809
1395	31864	13786
1396	31887	13763
1397	31906	13739
1398	31927	13715
1399	31951	13693
1400	31972	13670
1401	31993	13646
1402	32016	13623
1403	32036	13599
1404	32059	13576
1405	32078	13552
1406	32100	13529
1407	32124	13506
1408	32146	13483
1409	32165	13459
1410	32186	13435
1411	32206	13411
1412	32228	13388
1413	32251	13365
1414	32275	13343
1415	32294	13319
1416	32314	13295
1417	32333	13270
1418	32357	13248
1419	32378	13225
1420	32400	13201
1421	32421	13178
1422	32442	13154
1423	32462	13131
1424	32485	13108
1425	32505	13084
1426	32526	13060
1427	32548	13037
1428	32568	13013
1429	32590	12990
1430	32611	12967
1431	32632	12943
1432	32654	12920
1433	32675	12897
1434	32697	12873
1435	32718	12850
1436	32738	12826
1437	32759	12803
1438	32780	12779
1439	32800	12755
1440	32820	12731
1441	32840	12708
1442	32862	12685
1443	32881	12660
1444	32902	12637
1445	32922	12613
1446	32942	12589
1447	32965	12567
1448	32987	12543
1449	33008	12520
1450	33032	12498
1451	33056	12475
1452	33078	12452
1453	33100	12429
1454	33121	12406
1455	33141	12382
1456	33160	12358
1457	33183	12335
1458	33204	12312
1459	33226	12289
1460	33246	12265
1461	33268	12242
1462	33291	12219
1463	33313	12196
1464	33335	12173
1465	33357	12150
1466	33375	12126
1467	33397	12103
1468	33418	12079
1469	33439	12056
1470	33462	12033
1471	33482	12010
1472	33506	11987
1473	33531	11965
1474	33550	11941
1475	33573	11919
1476	33596	11896
1477	33617	11873
1478	33638	11849
1479	33659	11826
1480	33680	11802
1481	33702	11780
1482	33724	11756
1483	33745	11733
1484	33769	11711
1485	33791	11688
1486	33813	11665
1487	33837	11642
1488	33860	11620
1489	33884	11597
1490	33906	11574
1491	33927	11551
1492	33949	11528
1493	33970	11505
1494	33993	11482
1495	34014	11459
1496	34037	11436
1497	34058	11413
1498	34079	11390
1499	34099	11366
1500	34122	11343
1501	34146	11321
1502	34168	11298
1503	34191	11275
1504	34212	11252
1505	34235	11229
1506	34257	11207
1507	34279	11184
1508	34301	11161
1509	34321	11137
1510	34342	11114
1511	34365	11091
1512	34387	11068
1513	34410	11045
1514	34430	11022
1515	34452	10999
1516	34475	10976
1517	34499	10954
1518	34520	10931
1519	34542	10908
1520	34564	10885
1521	34584	10861
1522	34609	10839
1523	34629	10816
1524	34650	10792
1525	34668	10768
1526	34690	10745
1527	34713	10723
1528	34734	10699
1529	34755	10676
1530	34776	10653
1531	34796	10629
1532	34818	10606
1533	34838	10583
1534	34857	10559
1535	34878	10536
1536	34901	10513
1537	34923	10490
1538	34944	10467
1539	34968	10445
1540	34989	10422
1541	35010	10398
1542	35040	10378
1543	35062	10355
1544	35085	10332
1545	35107	10309
1546	35127	10286
1547	35148	10263
1548	35171	10240
1549	35192	10217
1550	35214	10194
1551	35236	10171
1552	35259	10148
1553	35281	10125
1554	35302	10102
1555	35325	10079
1556	35347	10057
1557	35369	10034
1558	35390	10011
1559	35412	9988
1560	35433	9964
1561	35454	9941
1562	35477	9919
1563	35500	9896
1564	35523	9873
1565	35545	9851
1566	35571	9829
1567	35595	9806
1568	35617	9783
1569	35640	9761
1570	35666	9739
1571	35689	9717
1572	35713	9694
1573	35736	9672
1574	35761	9649
1575	35784	9627
1576	35806	9604
1577	35828	9581
1578	35852	9559
1579	35875	9536
1580	35897	9513
1581	35920	9490
1582	35942	9468
1583	35965	9445
1584	35986	9422
1585	36008	9399
1586	36030	9376
1587	36049	9352
1588	36073	9330
1589	36093	9307
1590	36113	9283
1591	36135	9260
1592	36157	9237
1593	36179	9215
1594	36202	9192
1595	36224	9169
1596	36248	9147
1597	36271	9124
1598	36297	9102
1599	36319	9079
1600	36343	9057
1601	36365	9034
1602	36387	9011
1603	36407	8988
1604	36428	8965
1605	36450	8942
1606	36473	8919
1607	36496	8897
1608	36520	8874
1609	36544	8852
1610	36568	8829
1611	36588	8806
1612	36612	8784
1613	36634	8761
1614	36662	8739
1615	36687	8717
1616	36714	8696
1617	36740	8674
1618	36765	8652
1619	36792	8630
1620	36817	8608
1621	36840	8585
1622	36863	8562
1623	36889	8540
1624	36912	8518
1625	36936	8495
1626	36957	8472
1627	36982	8450
1628	37005	8427
1629	37026	8404
1630	37047	8381
1631	37069	8358
1632	37094	8336
1633	37120	8314
1634	37143	8291
1635	37166	8269
1636	37189	8246
1637	37211	8223
1638	37231	8200
1639	37252	8177
1640	37275	8154
1641	37295	8131
1642	37319	8109
1643	37343	8086
1644	37363	8063
1645	37385	8040
1646	37408	8017
1647	37427	7994
1648	37448	7971
1649	37467	7947
1650	37493	7925
1651	37517	7903
1652	37544	7881
1653	37568	7858
1654	37593	7836
1655	37619	7814
1656	37642	7792
1657	37666	7769
1658	37687	7746
1659	37711	7723
1660	37733	7701
1661	37756	7678
1662	37779	7655
1663	37802	7633
1664	37826	7610
1665	37851	7588
